dtreffre,numdep,nomdep,numregi,nomregi,aah_tx_inca,beneficiaires,lieures,date
2016-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7924,LA REUNION/LA REUNION,2016-07-01
2016-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10142,LA REUNION/LA REUNION,2016-06-01
2016-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7957,LA REUNION/LA REUNION,2016-06-01
2016-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7908,LA REUNION/LA REUNION,2016-08-01
2019-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11996,LA REUNION/LA REUNION,2019-12-01
2019-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11704,LA REUNION/LA REUNION,2019-07-01
2019-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11716,LA REUNION/LA REUNION,2019-06-01
2019-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8712,LA REUNION/LA REUNION,2019-06-01
2020-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11840,LA REUNION/LA REUNION,2020-04-01
2020-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8966,LA REUNION/LA REUNION,2020-05-01
2018-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11494,LA REUNION/LA REUNION,2018-09-01
2018-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8498,LA REUNION/LA REUNION,2018-10-01
2018-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11425,LA REUNION/LA REUNION,2018-06-01
2018-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11163,LA REUNION/LA REUNION,2018-02-01
2020-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8810,LA REUNION/LA REUNION,2020-03-01
2020-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11728,LA REUNION/LA REUNION,2020-02-01
2018-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11324,LA REUNION/LA REUNION,2018-04-01
2018-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8466,LA REUNION/LA REUNION,2018-03-01
2018-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8424,LA REUNION/LA REUNION,2018-02-01
2018-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8409,LA REUNION/LA REUNION,2018-01-01
2017-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8429,LA REUNION/LA REUNION,2017-12-01
2017-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8420,LA REUNION/LA REUNION,2017-11-01
2017-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8265,LA REUNION/LA REUNION,2017-07-01
2018-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11665,LA REUNION/LA REUNION,2018-12-01
