dtreffre,numdep,nomdep,numregi,nomregi,aah_tx,beneficiaires,lieures,date
2021-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,15589,LA REUNION/LA REUNION,2021-10-01
2021-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6002,LA REUNION/LA REUNION,2021-10-01
2021-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,15590,LA REUNION/LA REUNION,2021-09-01
2021-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5999,LA REUNION/LA REUNION,2021-09-01
2021-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5974,LA REUNION/LA REUNION,2021-08-01
2021-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,1,LA REUNION/LA REUNION,2021-12-01
2021-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,15630,LA REUNION/LA REUNION,2021-07-01
2020-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5832,LA REUNION/LA REUNION,2020-08-01
2019-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,14772,LA REUNION/LA REUNION,2019-01-01
2018-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5170,LA REUNION/LA REUNION,2018-05-01
2018-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5164,LA REUNION/LA REUNION,2018-04-01
2018-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,14518,LA REUNION/LA REUNION,2018-01-01
2019-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,14943,LA REUNION/LA REUNION,2019-05-01
2017-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,14418,LA REUNION/LA REUNION,2017-10-01
2017-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,14117,LA REUNION/LA REUNION,2017-05-01
2017-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4854,LA REUNION/LA REUNION,2017-04-01
2017-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4760,LA REUNION/LA REUNION,2017-03-01
2017-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4721,LA REUNION/LA REUNION,2017-02-01
2017-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4683,LA REUNION/LA REUNION,2017-01-01
2017-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5119,LA REUNION/LA REUNION,2017-12-01
2017-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,14224,LA REUNION/LA REUNION,2017-07-01
2017-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4918,LA REUNION/LA REUNION,2017-06-01
2018-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,14781,LA REUNION/LA REUNION,2018-12-01
2018-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5292,LA REUNION/LA REUNION,2018-10-01
2018-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,14745,LA REUNION/LA REUNION,2018-09-01
2018-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,14714,LA REUNION/LA REUNION,2018-07-01
2018-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,14603,LA REUNION/LA REUNION,2018-03-01
2019-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5803,LA REUNION/LA REUNION,2019-12-01
2019-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,15037,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5503,LA REUNION/LA REUNION,2019-08-01
2016-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,13526,LA REUNION/LA REUNION,2016-08-01
2016-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4647,LA REUNION/LA REUNION,2016-06-01
2016-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4833,LA REUNION/LA REUNION,2016-12-01
2016-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4823,LA REUNION/LA REUNION,2016-11-01
2016-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,13579,LA REUNION/LA REUNION,2016-10-01
2016-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4790,LA REUNION/LA REUNION,2016-10-01
2019-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5780,LA REUNION/LA REUNION,2019-11-01
2019-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5563,LA REUNION/LA REUNION,2019-10-01
2019-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,15078,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5538,LA REUNION/LA REUNION,2019-09-01
2016-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,13557,LA REUNION/LA REUNION,2016-09-01
2016-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4759,LA REUNION/LA REUNION,2016-09-01
2016-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4718,LA REUNION/LA REUNION,2016-08-01
2016-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4690,LA REUNION/LA REUNION,2016-07-01
2016-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,13652,LA REUNION/LA REUNION,2016-11-01
2016-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,13466,LA REUNION/LA REUNION,2016-06-01
2018-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,14767,LA REUNION/LA REUNION,2018-10-01
2018-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5264,LA REUNION/LA REUNION,2018-09-01
2018-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5246,LA REUNION/LA REUNION,2018-08-01
2018-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,14733,LA REUNION/LA REUNION,2018-05-01
2018-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,14671,LA REUNION/LA REUNION,2018-04-01
2018-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5107,LA REUNION/LA REUNION,2018-03-01
2018-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5066,LA REUNION/LA REUNION,2018-02-01
2019-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,14804,LA REUNION/LA REUNION,2019-02-01
2019-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5411,LA REUNION/LA REUNION,2019-02-01
2017-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,14502,LA REUNION/LA REUNION,2017-12-01
2017-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,14356,LA REUNION/LA REUNION,2017-09-01
2017-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5019,LA REUNION/LA REUNION,2017-09-01
2017-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,14315,LA REUNION/LA REUNION,2017-08-01
2017-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4976,LA REUNION/LA REUNION,2017-08-01
2017-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4928,LA REUNION/LA REUNION,2017-07-01
2017-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,14059,LA REUNION/LA REUNION,2017-04-01
2017-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,13936,LA REUNION/LA REUNION,2017-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6474,LA REUNION/LA REUNION,2026-02-01
2026-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,16439,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6443,LA REUNION/LA REUNION,2026-01-01
