dtreffre,numdep,nomdep,numregi,nomregi,aah_complaah,aah_age_5,beneficiaires,lieures,date
2025-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,138,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,647,LA REUNION/LA REUNION,2025-01-01
2025-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,295,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,440,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,637,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,585,LA REUNION/LA REUNION,2025-07-01
2025-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,444,LA REUNION/LA REUNION,2025-05-01
2025-05,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,582,LA REUNION/LA REUNION,2025-05-01
2025-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1631,LA REUNION/LA REUNION,2025-05-01
2025-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2295,LA REUNION/LA REUNION,2025-05-01
2025-06,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,8,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,9,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1268,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1629,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,1435,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,247,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,297,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,641,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,643,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,583,LA REUNION/LA REUNION,2025-06-01
2025-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1287,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1644,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,3,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,59,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,244,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,279,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,425,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,621,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,655,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,640,LA REUNION/LA REUNION,2025-12-01
2026-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,17,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1294,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2285,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,131,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,184,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,241,LA REUNION/LA REUNION,2026-01-01
2026-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,608,LA REUNION/LA REUNION,2026-01-01
2026-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1515,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1991,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,2011,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,1492,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,63,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,127,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,242,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,277,LA REUNION/LA REUNION,2026-02-01
